Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=500
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=100
EVALUATE_EVERY=100
FILTER_SIZES=1,2,3
L2_REG_LAMBDA=0.0
LOG_DEVICE_PLACEMENT=False
NUM_EPOCHS=30
NUM_FILTERS=100

2017-03-18T09:54:33.963364: step 1, loss 3.63828, acc 0.088
2017-03-18T09:54:35.309024: step 2, loss 3.70729, acc 0.096
2017-03-18T09:54:36.675201: step 3, loss 3.72457, acc 0.082
2017-03-18T09:54:38.277915: step 4, loss 3.51877, acc 0.104
2017-03-18T09:54:39.601195: step 5, loss 3.65372, acc 0.076
2017-03-18T09:54:40.948109: step 6, loss 3.41486, acc 0.094
2017-03-18T09:54:42.323620: step 7, loss 3.42235, acc 0.096
2017-03-18T09:54:43.683666: step 8, loss 3.41047, acc 0.11
2017-03-18T09:54:45.018753: step 9, loss 3.44918, acc 0.112
2017-03-18T09:54:46.302577: step 10, loss 3.31751, acc 0.098
2017-03-18T09:54:47.667986: step 11, loss 3.30891, acc 0.108
2017-03-18T09:54:48.951399: step 12, loss 3.391, acc 0.102
2017-03-18T09:54:50.269958: step 13, loss 3.41607, acc 0.096
2017-03-18T09:54:51.588843: step 14, loss 3.35313, acc 0.094
2017-03-18T09:54:52.888084: step 15, loss 3.41403, acc 0.08
2017-03-18T09:54:54.240260: step 16, loss 3.43183, acc 0.076
2017-03-18T09:54:55.543009: step 17, loss 3.45629, acc 0.078
2017-03-18T09:54:56.868492: step 18, loss 3.3377, acc 0.08
2017-03-18T09:54:58.232210: step 19, loss 3.38393, acc 0.104
2017-03-18T09:54:59.555223: step 20, loss 3.38928, acc 0.092
2017-03-18T09:55:00.889497: step 21, loss 3.33185, acc 0.094
2017-03-18T09:55:02.223285: step 22, loss 3.31428, acc 0.076
2017-03-18T09:55:03.558160: step 23, loss 3.22866, acc 0.102
2017-03-18T09:55:04.876582: step 24, loss 3.30757, acc 0.092
2017-03-18T09:55:06.206026: step 25, loss 3.14772, acc 0.126
2017-03-18T09:55:07.536061: step 26, loss 3.22344, acc 0.13
2017-03-18T09:55:08.807695: step 27, loss 3.31893, acc 0.088
2017-03-18T09:55:10.131027: step 28, loss 3.21584, acc 0.1
2017-03-18T09:55:11.441022: step 29, loss 3.22511, acc 0.102
2017-03-18T09:55:12.777797: step 30, loss 3.2929, acc 0.078
2017-03-18T09:55:14.097925: step 31, loss 3.11057, acc 0.126
2017-03-18T09:55:15.410818: step 32, loss 3.25628, acc 0.084
2017-03-18T09:55:16.769755: step 33, loss 3.22096, acc 0.102
2017-03-18T09:55:18.142311: step 34, loss 3.20475, acc 0.09
2017-03-18T09:55:19.455649: step 35, loss 3.19244, acc 0.096
2017-03-18T09:55:20.797666: step 36, loss 3.10423, acc 0.11
2017-03-18T09:55:22.125560: step 37, loss 3.22833, acc 0.094
2017-03-18T09:55:23.485649: step 38, loss 3.21531, acc 0.086
2017-03-18T09:55:24.807216: step 39, loss 3.29341, acc 0.086
2017-03-18T09:55:26.106514: step 40, loss 3.1775, acc 0.1
2017-03-18T09:55:27.404683: step 41, loss 3.17292, acc 0.082
2017-03-18T09:55:28.728437: step 42, loss 3.17215, acc 0.094
2017-03-18T09:55:30.065626: step 43, loss 3.25721, acc 0.09
2017-03-18T09:55:31.393613: step 44, loss 3.22025, acc 0.098
2017-03-18T09:55:32.706809: step 45, loss 3.2057, acc 0.098
2017-03-18T09:55:34.034037: step 46, loss 3.18135, acc 0.1
2017-03-18T09:55:35.383445: step 47, loss 3.13297, acc 0.106
2017-03-18T09:55:36.707995: step 48, loss 3.26011, acc 0.1
2017-03-18T09:55:38.091983: step 49, loss 3.1076, acc 0.09
2017-03-18T09:55:39.429405: step 50, loss 3.17064, acc 0.088
2017-03-18T09:55:40.772203: step 51, loss 3.00542, acc 0.124
2017-03-18T09:55:42.101378: step 52, loss 3.08408, acc 0.096
2017-03-18T09:55:43.449280: step 53, loss 3.15533, acc 0.094
2017-03-18T09:55:44.790416: step 54, loss 3.1037, acc 0.11
2017-03-18T09:55:46.143843: step 55, loss 3.20248, acc 0.104
2017-03-18T09:55:47.528625: step 56, loss 3.08525, acc 0.104
2017-03-18T09:55:48.847738: step 57, loss 3.01644, acc 0.116
2017-03-18T09:55:50.153698: step 58, loss 3.1869, acc 0.108
2017-03-18T09:55:51.505409: step 59, loss 3.09053, acc 0.102
2017-03-18T09:55:52.805294: step 60, loss 3.01867, acc 0.134
2017-03-18T09:55:54.151992: step 61, loss 3.08642, acc 0.108
2017-03-18T09:55:55.471238: step 62, loss 3.05306, acc 0.11
2017-03-18T09:55:56.793327: step 63, loss 3.17542, acc 0.09
2017-03-18T09:55:58.083525: step 64, loss 3.12398, acc 0.11
2017-03-18T09:55:59.367151: step 65, loss 3.09441, acc 0.102
2017-03-18T09:56:00.861632: step 66, loss 3.0314, acc 0.11
2017-03-18T09:56:02.304040: step 67, loss 3.09809, acc 0.106
2017-03-18T09:56:03.799664: step 68, loss 3.12522, acc 0.082
2017-03-18T09:56:05.505931: step 69, loss 3.06052, acc 0.116
2017-03-18T09:56:06.811477: step 70, loss 3.14823, acc 0.104
2017-03-18T09:56:08.154766: step 71, loss 3.10553, acc 0.11
2017-03-18T09:56:09.490945: step 72, loss 3.02885, acc 0.112
2017-03-18T09:56:10.882042: step 73, loss 2.9824, acc 0.126
